created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 23:02:30 +0000 2025,0,Kasus Ijazah Jokowi Diberitakan Media Asing https://t.co/lxCHHIs6b6 https://t.co/t83exeiOjO,in,0,0,0
Tue Apr 29 23:01:47 +0000 2025,0,Full Tiga Pelapor Ijazah Jokowi Bersaksi | Rakyat Bersuara |29/04 https://t.co/qP1Yrk5auF via @YouTube,in,0,0,0
Tue Apr 29 23:00:54 +0000 2025,0,@Franken_blues Yg aneh itu buzerp.harusnya ijazah para pemimpin itu clear tidak kontrofersi.tak hanya jokowi saja tp siapapun jika mencurigakan ya proses.,in,0,0,0
Tue Apr 29 22:57:47 +0000 2025,0,@NenkMonica Malah nuduh orang yg menggugat ijazah palsu bilang itu asli.. eh gimana sih? Gegara ini jadi bingung gue.. kok malah pihak lawan yang bilang roy suryo melakukan kebodohan publik bahwa ijazah jokowi asli? Wait what!!!,in,0,0,0
Tue Apr 29 22:55:16 +0000 2025,7,Pengaduan Jokowi Ijazah Palsu Bareskrim Mulai BAP Pengurus TPUA https://t.co/pmrUMKUtWe lewat @Keuangan News,in,0,0,4
Tue Apr 29 22:54:48 +0000 2025,1,@alisyarief Si Silvester itu adalah Anjing piaraan Jokowi yg sudah terbiasa makan TAIK Cuan Jokowi. sudah jelas Ijazah Jokowi palsu skripsi nya palsu masih ngotot bela Molyono. Dasar NdasMu..@jokowi,in,0,1,0
Tue Apr 29 22:53:20 +0000 2025,0,JOKOWI DIMINTA HATI-HATI! Dokter Tifa: Dugaan Ijazah Palsu Jadi Isu Internasional Bisa Masuk Jurang https://t.co/UPXFgITMi9 https://t.co/hyGERydIKS,in,0,0,0
Tue Apr 29 22:52:30 +0000 2025,12,@MasBRO_back @DokterTifa Good job Dok maju terus tegakan kebenaran publik mendukung tim Anda Semoga berhasil membongkar kss ijazah bodong Jokowi,in,0,0,1
Tue Apr 29 22:49:37 +0000 2025,0,@Epricila10 Semoga terbongkar Ijazah Pak Jokowi yang PALSU,in,0,0,0
Tue Apr 29 22:48:40 +0000 2025,0,@DianSandiU @psi_id balikin dulu ijazah Pak Jokowi bro...,in,0,0,0
